iter	Logloss
0	0.6266247262
1	0.5748791714
2	0.5291683474
3	0.4882039968
4	0.455903301
5	0.4253283481
6	0.4004384564
7	0.3816434329
8	0.3589011698
9	0.3401909809
10	0.3277301303
11	0.3134683219
12	0.3049070515
13	0.2968662526
14	0.2855126831
15	0.2792341358
16	0.2722765838
17	0.2647649718
18	0.2589818707
19	0.2527615502
20	0.2459731733
21	0.2411434406
22	0.2348543152
23	0.2296564514
24	0.2252600498
25	0.2211002851
26	0.2176510648
27	0.2138961029
28	0.2112896306
29	0.2077357397
30	0.2046508427
31	0.2027964397
32	0.2007854924
33	0.1986342917
34	0.1960185476
35	0.1937102629
36	0.1929171384
37	0.1918056617
38	0.1901918116
39	0.1887373866
40	0.187132989
41	0.1852492801
42	0.1840268315
43	0.1826890175
44	0.1815889722
45	0.1797455142
46	0.1782630637
47	0.1774986711
48	0.1761099598
49	0.17511809
50	0.1740482337
51	0.1734007428
52	0.1728283751
53	0.1716625154
54	0.1700005245
55	0.1683195854
56	0.1675003181
57	0.1667644492
58	0.165831973
59	0.1648358319
60	0.164089062
61	0.1636590305
62	0.163132362
63	0.162745404
64	0.1623133791
65	0.1622256855
66	0.161152845
67	0.1598121722
68	0.1582357207
69	0.1574443008
70	0.1569385682
71	0.1568474697
72	0.1559784524
73	0.155425673
74	0.1543156535
75	0.1535217409
76	0.1530335553
77	0.1525473083
78	0.1522973255
79	0.1516779741
80	0.1514216566
81	0.1511851119
82	0.1507678045
83	0.1507066392
84	0.1502128842
85	0.1496961135
86	0.1491631756
87	0.148581911
88	0.1484668332
89	0.1481298704
90	0.1471207259
91	0.1470317908
92	0.1465195177
93	0.1459342527
94	0.1458401148
95	0.1447825476
96	0.1443976356
97	0.1441359604
98	0.1435032951
99	0.1429558118
100	0.1428659441
101	0.1423839294
102	0.1418183801
103	0.1416507719
104	0.1415904667
105	0.1412774914
106	0.1411989796
107	0.1411330181
108	0.1410647369
109	0.1406150859
110	0.1405523094
111	0.1404798149
112	0.1399733797
113	0.1399212317
114	0.1393894616
115	0.1389078604
116	0.1388411608
117	0.1382510527
118	0.1378148359
119	0.1377423909
120	0.1373341121
121	0.1370403566
122	0.1365895223
123	0.136134838
124	0.1360677736
125	0.1357421786
126	0.1356636482
127	0.1355295778
128	0.1354759788
129	0.135110892
130	0.1345854619
131	0.1345423243
132	0.1344475028
133	0.1336602783
134	0.1334754768
135	0.1334274229
136	0.1330046886
137	0.1327597995
138	0.1323998107
139	0.1318166585
140	0.1317771369
141	0.1312932963
142	0.1308387934
143	0.1308002834
144	0.1304871243
145	0.1302497596
146	0.1297107895
147	0.1296736627
148	0.129331859
149	0.129297428
150	0.1287986945
151	0.1284525617
152	0.128410709
153	0.128119059
154	0.1279648174
155	0.1272548772
156	0.1268387764
157	0.126749543
158	0.1267161053
159	0.1261488636
160	0.1261077323
161	0.1254782935
162	0.1250895616
163	0.1246791979
164	0.1244583667
165	0.1243912689
166	0.1239898685
167	0.1235840517
168	0.1232366504
169	0.1229608748
170	0.1227954015
171	0.1227389509
172	0.122678264
173	0.1221783017
174	0.1221431492
175	0.1218324705
176	0.1214730575
177	0.1207936291
178	0.1207678268
179	0.1205447547
180	0.1201828528
181	0.1197859301
182	0.1195506561
183	0.1195176245
184	0.1190379309
185	0.1190101638
186	0.1189626717
187	0.1189393649
188	0.1189142689
189	0.1186646133
190	0.1186214158
191	0.1185930616
192	0.1185697471
193	0.1182948124
194	0.1177206865
195	0.1172891211
196	0.1171596638
197	0.1171339296
198	0.1167812057
199	0.1165966767
