iter	Passed	Remaining
0	3	737
1	5	543
2	7	482
3	9	442
4	10	425
5	12	408
6	14	398
7	16	388
8	18	382
9	19	374
10	21	369
11	23	365
12	25	361
13	26	357
14	28	355
15	30	351
16	32	347
17	34	345
18	35	342
19	37	340
20	39	338
21	41	336
22	43	333
23	45	331
24	46	328
25	48	326
26	50	323
27	52	320
28	53	317
29	55	315
30	57	312
31	59	310
32	60	308
33	62	305
34	64	303
35	66	301
36	68	299
37	69	297
38	71	295
39	73	293
40	75	290
41	76	289
42	78	287
43	80	284
44	82	282
45	83	280
46	85	278
47	87	276
48	89	274
49	90	272
50	92	270
51	94	269
52	96	267
53	98	265
54	99	263
55	101	261
56	103	259
57	105	257
58	106	255
59	108	253
60	110	251
61	112	249
62	114	248
63	115	246
64	117	244
65	119	242
66	121	240
67	123	239
68	124	237
69	126	235
70	128	233
71	130	231
72	131	229
73	133	227
74	135	225
75	137	223
76	138	221
77	140	219
78	142	217
79	144	216
80	145	214
81	147	212
82	149	210
83	151	208
84	152	206
85	154	205
86	156	203
87	158	201
88	160	199
89	161	197
90	163	196
91	165	194
92	167	192
93	169	190
94	170	188
95	172	186
96	174	185
97	176	183
98	177	181
99	179	179
100	181	177
101	183	175
102	184	174
103	186	172
104	188	170
105	190	168
106	191	166
107	193	165
108	195	163
109	197	161
110	199	159
111	200	157
112	202	156
113	204	154
114	206	152
115	208	150
116	209	148
117	211	147
118	213	145
119	215	143
120	217	141
121	218	139
122	220	138
123	222	136
124	224	134
125	225	132
126	227	130
127	229	129
128	231	127
129	232	125
130	234	123
131	236	121
132	238	120
133	240	118
134	241	116
135	243	114
136	245	112
137	247	111
138	249	109
139	250	107
140	252	105
141	254	103
142	256	102
143	257	100
144	259	98
145	261	96
146	263	94
147	264	93
148	266	91
149	268	89
150	270	87
151	272	85
152	273	84
153	275	82
154	277	80
155	279	78
156	280	76
157	282	75
158	284	73
159	286	71
160	287	69
161	289	67
162	291	66
163	292	64
164	294	62
165	296	60
166	298	58
167	299	57
168	301	55
169	303	53
170	305	51
171	306	49
172	308	48
173	310	46
174	312	44
175	313	42
176	315	41
177	317	39
178	319	37
179	321	35
180	322	33
181	324	32
182	326	30
183	328	28
184	329	26
185	331	24
186	333	23
187	335	21
188	337	19
189	338	17
190	340	16
191	342	14
192	344	12
193	346	10
194	347	8
195	349	7
196	351	5
197	353	3
198	354	1
199	356	0
