iter	Passed	Remaining
0	2	538
1	4	458
2	6	432
3	8	417
4	10	406
5	12	398
6	14	392
7	16	387
8	18	383
9	19	379
10	21	375
11	23	372
12	25	369
13	27	366
14	29	364
15	31	361
16	33	359
17	35	356
18	37	353
19	39	351
20	40	349
21	42	347
22	44	344
23	46	342
24	48	340
25	50	338
26	52	335
27	54	333
28	56	331
29	58	329
30	60	327
31	62	325
32	63	323
33	65	321
34	67	320
35	70	319
36	72	317
37	74	315
38	76	314
39	78	313
40	80	311
41	82	309
42	84	308
43	86	306
44	88	305
45	90	303
46	92	301
47	94	300
48	96	298
49	98	296
50	100	295
51	103	293
52	105	291
53	107	289
54	109	287
55	111	285
56	113	284
57	115	282
58	117	280
59	119	278
60	121	276
61	123	274
62	125	273
63	127	271
64	129	269
65	131	267
66	133	265
67	135	263
68	138	262
69	140	260
70	142	258
71	144	256
72	146	254
73	148	252
74	150	250
75	152	248
76	154	246
77	156	244
78	158	242
79	160	240
80	163	239
81	165	237
82	167	235
83	169	233
84	171	232
85	173	230
86	175	228
87	177	226
88	179	224
89	181	222
90	183	220
91	185	218
92	187	216
93	189	214
94	192	212
95	194	210
96	196	208
97	198	206
98	200	204
99	202	202
100	204	200
101	206	198
102	208	196
103	210	194
104	212	192
105	214	190
106	216	188
107	218	186
108	220	184
109	222	182
110	224	180
111	227	178
112	229	176
113	231	174
114	233	172
115	235	170
116	237	168
117	239	166
118	241	164
119	243	162
120	245	160
121	247	158
122	249	156
123	251	154
124	253	152
125	255	150
126	257	148
127	259	146
128	261	144
129	264	142
130	266	140
131	268	138
132	270	136
133	272	134
134	274	132
135	276	130
136	278	128
137	280	126
138	282	124
139	284	122
140	286	119
141	288	117
142	290	115
143	292	113
144	294	111
145	297	109
146	299	107
147	301	105
148	303	103
149	305	101
150	307	99
151	309	97
152	311	95
153	313	93
154	315	91
155	317	89
156	319	87
157	321	85
158	323	83
159	325	81
160	327	79
161	329	77
162	332	75
163	334	73
164	336	71
165	338	69
166	340	67
167	342	65
168	344	63
169	346	61
170	348	59
171	350	57
172	352	55
173	354	53
174	356	50
175	358	48
176	360	46
177	362	44
178	364	42
179	367	40
180	369	38
181	371	36
182	373	34
183	375	32
184	377	30
185	379	28
186	381	26
187	383	24
188	385	22
189	387	20
190	389	18
191	391	16
192	393	14
193	395	12
194	397	10
195	399	8
196	402	6
197	404	4
198	406	2
199	408	0
