iter	Logloss
0	0.6651070487
1	0.6444177161
2	0.6268743464
3	0.6145619517
4	0.6031030737
5	0.5955889813
6	0.5874816102
7	0.582985435
8	0.5781378046
9	0.5739619267
10	0.5708413901
11	0.5675291505
12	0.5646358646
13	0.560509071
14	0.5584542411
15	0.5564141669
16	0.5547449987
17	0.5539995283
18	0.5530852204
19	0.5510940476
20	0.5505324144
21	0.5493462836
22	0.5484619141
23	0.5468009773
24	0.5453060123
25	0.5433854476
26	0.542628758
27	0.5408026422
28	0.5397407158
29	0.5381211806
30	0.5370214502
31	0.5365556075
32	0.5361355563
33	0.5349547913
34	0.534421816
35	0.5340960919
36	0.5332536116
37	0.5324610082
38	0.5303941664
39	0.52932285
40	0.528612013
41	0.5275897199
42	0.5268460787
43	0.5260867063
44	0.5245851561
45	0.523938098
46	0.5233097591
47	0.5222392354
48	0.5211130422
49	0.5199311187
50	0.5193243036
51	0.518482677
52	0.5177786081
53	0.5173475816
54	0.516857898
55	0.5161418172
56	0.5156164636
57	0.5152241557
58	0.5145769758
59	0.5137068742
60	0.5133431022
61	0.5128627476
62	0.5120875219
63	0.5114616828
64	0.5111805614
65	0.5107580103
66	0.5102319251
67	0.5089665279
68	0.5083677614
69	0.5079658806
70	0.5075121107
71	0.5070859621
72	0.5068742598
73	0.5059672078
74	0.5050032365
75	0.5049007694
76	0.504301881
77	0.5036397319
78	0.5027845385
79	0.5025929881
80	0.501506794
81	0.5010334819
82	0.5003532234
83	0.4993900143
84	0.4986062521
85	0.4980429117
86	0.4972551557
87	0.4968371472
88	0.4959995449
89	0.4954208389
90	0.4945877487
91	0.4941715084
92	0.4937494451
93	0.4929148
94	0.492442616
95	0.4918295816
96	0.4914793458
97	0.4909016155
98	0.4901930955
99	0.488986142
100	0.488458319
101	0.48767913
102	0.4869532018
103	0.4863451673
104	0.485658537
105	0.4850826664
106	0.4839263825
107	0.4836183104
108	0.4832728002
109	0.4823679128
110	0.4814538489
111	0.4811570875
112	0.4800625705
113	0.4794706636
114	0.4790156133
115	0.4780136246
116	0.4776118657
117	0.4773373599
118	0.477149468
119	0.476256623
120	0.4754600258
121	0.4747019338
122	0.4741292948
123	0.4739191473
124	0.4730964226
125	0.4726989929
126	0.4724261944
127	0.4719154137
128	0.4716725535
129	0.4709339733
130	0.470348926
131	0.4698266516
132	0.4694124235
133	0.4688631986
134	0.4682451947
135	0.468132362
136	0.4672670164
137	0.4666998041
138	0.4662173764
139	0.4645263184
140	0.464215472
141	0.4637317029
142	0.4633498216
143	0.4626406918
144	0.462332193
145	0.4620794245
146	0.4615502296
147	0.4613986782
148	0.4604837911
149	0.4596714321
150	0.4594355839
151	0.4588948954
152	0.4582157954
153	0.4575873345
154	0.4570367987
155	0.4569525018
156	0.4567059527
157	0.4558713381
158	0.4553217778
159	0.4548082228
160	0.4535058447
161	0.4524942526
162	0.4523012083
163	0.4515735119
164	0.4512919941
165	0.4508738332
166	0.4503886616
167	0.4501287897
168	0.4499520865
169	0.449713464
170	0.449516426
171	0.4489275373
172	0.4483399596
173	0.4479840228
174	0.4477271996
175	0.4472819051
176	0.4466384751
177	0.4461241273
178	0.4459409914
179	0.4454865813
180	0.4450920174
181	0.4445705052
182	0.4440688401
183	0.4435761992
184	0.4431435874
185	0.4421590982
186	0.4412803993
187	0.4405635258
188	0.4400567084
189	0.4396632115
190	0.4390890482
191	0.4381793438
192	0.4380591028
193	0.4376401796
194	0.4374430196
195	0.4372785723
196	0.4367072137
197	0.4361098191
198	0.4356005323
199	0.4353591355
