iter	Passed	Remaining
0	3	616
1	5	519
2	7	482
3	9	463
4	11	451
5	13	443
6	15	436
7	17	430
8	20	424
9	22	420
10	24	416
11	26	412
12	28	408
13	30	405
14	32	402
15	34	399
16	36	396
17	38	393
18	40	390
19	43	387
20	45	384
21	47	382
22	49	379
23	51	377
24	53	374
25	55	372
26	57	370
27	59	367
28	61	365
29	64	362
30	66	360
31	68	358
32	70	355
33	72	353
34	74	351
35	76	348
36	78	346
37	80	344
38	82	342
39	85	340
40	87	337
41	89	335
42	91	333
43	93	331
44	95	328
45	97	326
46	99	324
47	101	322
48	103	320
49	105	317
50	108	315
51	110	313
52	112	311
53	114	309
54	116	306
55	118	304
56	120	302
57	122	301
58	125	299
59	127	297
60	129	295
61	132	294
62	134	292
63	136	290
64	138	288
65	141	286
66	143	284
67	145	282
68	148	281
69	150	279
70	152	277
71	154	275
72	157	273
73	159	271
74	161	269
75	164	267
76	166	265
77	168	263
78	170	261
79	173	259
80	175	257
81	177	255
82	180	253
83	182	251
84	184	249
85	186	247
86	188	244
87	190	242
88	192	239
89	193	237
90	195	234
91	197	231
92	199	229
93	201	227
94	203	224
95	205	222
96	206	219
97	208	217
98	210	214
99	212	212
100	214	210
101	216	207
102	218	205
103	219	203
104	221	200
105	223	198
106	225	196
107	227	193
108	229	191
109	231	189
110	232	186
111	234	184
112	236	182
113	238	179
114	240	177
115	242	175
116	244	173
117	245	170
118	247	168
119	249	166
120	251	164
121	253	162
122	255	159
123	257	157
124	259	155
125	260	153
126	262	151
127	264	148
128	266	146
129	268	144
130	270	142
131	272	140
132	273	138
133	275	135
134	277	133
135	279	131
136	281	129
137	283	127
138	285	125
139	286	122
140	288	120
141	290	118
142	292	116
143	294	114
144	296	112
145	298	110
146	300	108
147	301	106
148	303	103
149	305	101
150	307	99
151	309	97
152	311	95
153	313	93
154	314	91
155	316	89
156	318	87
157	320	85
158	322	83
159	324	81
160	326	78
161	327	76
162	329	74
163	331	72
164	333	70
165	335	68
166	337	66
167	339	64
168	340	62
169	342	60
170	344	58
171	346	56
172	348	54
173	350	52
174	352	50
175	353	48
176	355	46
177	357	44
178	359	42
179	361	40
180	363	38
181	365	36
182	366	34
183	368	32
184	370	30
185	372	28
186	374	26
187	376	24
188	378	22
189	379	19
190	381	17
191	383	15
192	385	13
193	387	11
194	389	9
195	391	7
196	393	5
197	395	3
198	397	1
199	399	0
