iter	Logloss
0	0.6718876569
1	0.6567721485
2	0.6447972436
3	0.6355592551
4	0.6279651863
5	0.6223237975
6	0.6179919083
7	0.6140263288
8	0.6110437392
9	0.6083816275
10	0.6061693812
11	0.6046516848
12	0.6027756881
13	0.6016680075
14	0.6006978724
15	0.599653971
16	0.5989252077
17	0.5982017842
18	0.5976697969
19	0.5973192094
20	0.5967829207
21	0.5963873912
22	0.595966696
23	0.5955466931
24	0.5952502436
25	0.5949289748
26	0.5947493055
27	0.5945822436
28	0.5944061341
29	0.5942740767
30	0.594118683
31	0.5939701616
32	0.5938846284
33	0.5936430093
34	0.5932625593
35	0.5931314906
36	0.5927501507
37	0.5925631147
38	0.5924664571
39	0.5923794406
40	0.5922823381
41	0.5922356162
42	0.5921938384
43	0.5920651924
44	0.5918217934
45	0.5916714427
46	0.5916012856
47	0.5915422528
48	0.5913728673
49	0.5913237722
50	0.5912501543
51	0.5912144577
52	0.590843451
53	0.5907684487
54	0.5906591342
55	0.5905612406
56	0.5904633471
57	0.5904453505
58	0.5903529943
59	0.5903085467
60	0.5902716141
61	0.5902601438
62	0.5901609647
63	0.5900922415
64	0.5900658399
65	0.5900189696
66	0.5896700136
67	0.5895801295
68	0.5895265847
69	0.5894549444
70	0.5893226398
71	0.5892272183
72	0.5891883575
73	0.589115234
74	0.5890848276
75	0.5889739805
76	0.5888731204
77	0.588705317
78	0.5886563702
79	0.588604012
80	0.5885188248
81	0.588449706
82	0.5884259743
83	0.5883171542
84	0.5882329558
85	0.5881045571
86	0.5880342517
87	0.5879508938
88	0.5878248682
89	0.5877578259
90	0.5876800549
91	0.5874328984
92	0.5873917633
93	0.5872995061
94	0.5872552562
95	0.5872194113
96	0.5872008214
97	0.5871745682
98	0.5870908148
99	0.5870811737
100	0.5870235747
101	0.5869179684
102	0.5868045997
103	0.5867666783
104	0.5867194125
105	0.5867132818
106	0.5866983011
107	0.5866162782
108	0.5865465661
109	0.5865007835
110	0.5864040271
111	0.5863672923
112	0.5863474664
113	0.5862754306
114	0.5862337022
115	0.5861985495
116	0.5861880185
117	0.5861792674
118	0.5861495533
119	0.5860965523
120	0.5860878012
121	0.585922371
122	0.5858823731
123	0.5857679167
124	0.5857477447
125	0.5856999351
126	0.5856408528
127	0.5855707947
128	0.5855094876
129	0.5854966329
130	0.5854350786
131	0.5853801494
132	0.5853194851
133	0.5852773612
134	0.5851519783
135	0.5851105466
136	0.5851050091
137	0.5850888419
138	0.5850400434
139	0.5849289985
140	0.5849016081
141	0.5846645375
142	0.5846367516
143	0.5845485979
144	0.5845384625
145	0.5845136924
146	0.5844764138
147	0.5844586644
148	0.5843082643
149	0.584283692
150	0.5842198634
151	0.584193709
152	0.5841463444
153	0.5841405103
154	0.5840612066
155	0.5840311958
156	0.5839303358
157	0.5839069006
158	0.5838815868
159	0.5838516748
160	0.5838176593
161	0.583801492
162	0.5837848303
163	0.5837759309
164	0.5835960638
165	0.5835704039
166	0.5835396514
167	0.5834858594
168	0.5834773061
169	0.5834265794
170	0.5834247007
171	0.5834194599
172	0.5833942943
173	0.5833699198
174	0.5833059924
175	0.5832384062
176	0.5832178387
177	0.583174726
178	0.5831623162
179	0.5831459018
180	0.5831124795
181	0.5830872151
182	0.5830185412
183	0.582967864
184	0.5829579263
185	0.5829242074
186	0.5828579068
187	0.5828103938
188	0.5827684677
189	0.5827334633
190	0.582599181
191	0.5825968573
192	0.5825829149
193	0.5825497893
194	0.5825402966
195	0.5824968872
196	0.5824889766
197	0.5824561971
198	0.5824248019
199	0.5823516289
