iter	Passed	Remaining
0	4	881
1	6	630
2	8	543
3	10	503
4	12	475
5	14	455
6	16	442
7	17	431
8	19	422
9	21	413
10	23	408
11	25	402
12	27	397
13	29	392
14	31	389
15	33	386
16	35	383
17	37	380
18	39	376
19	41	372
20	43	368
21	45	365
22	47	362
23	49	359
24	51	357
25	52	354
26	54	352
27	56	349
28	58	347
29	60	345
30	62	343
31	64	341
32	66	338
33	68	336
34	70	334
35	72	331
36	74	329
37	76	326
38	78	324
39	80	322
40	82	320
41	84	318
42	86	316
43	88	314
44	90	312
45	92	309
46	94	307
47	96	305
48	98	303
49	100	301
50	102	299
51	104	296
52	106	294
53	108	292
54	110	290
55	112	288
56	114	286
57	116	284
58	118	282
59	120	280
60	122	278
61	124	276
62	126	274
63	128	272
64	130	270
65	132	268
66	134	266
67	136	264
68	138	262
69	140	260
70	142	258
71	144	256
72	146	254
73	148	252
74	150	250
75	152	248
76	154	246
77	156	244
78	158	242
79	160	240
80	162	238
81	164	236
82	166	234
83	168	232
84	170	230
85	172	228
86	174	226
87	176	224
88	178	222
89	180	220
90	182	218
91	184	216
92	186	214
93	188	212
94	190	210
95	192	208
96	194	206
97	196	204
98	198	202
99	200	200
100	202	198
101	204	196
102	206	194
103	208	192
104	210	190
105	212	188
106	214	186
107	216	184
108	218	182
109	220	180
110	222	178
111	224	176
112	226	174
113	228	172
114	230	170
115	232	168
116	234	166
117	236	164
118	238	162
119	240	160
120	241	157
121	243	155
122	245	153
123	247	151
124	249	149
125	251	147
126	253	145
127	255	143
128	257	141
129	259	139
130	261	137
131	263	135
132	265	133
133	267	131
134	269	129
135	271	127
136	273	125
137	275	123
138	277	121
139	279	119
140	281	117
141	283	115
142	285	113
143	287	111
144	289	109
145	291	107
146	293	105
147	295	103
148	297	101
149	299	99
150	301	97
151	303	95
152	305	93
153	307	91
154	309	89
155	311	87
156	313	85
157	315	83
158	317	81
159	319	79
160	321	77
161	322	75
162	324	73
163	326	71
164	328	69
165	330	67
166	332	65
167	334	63
168	336	61
169	338	59
170	340	57
171	342	55
172	344	53
173	346	51
174	348	49
175	350	47
176	352	45
177	354	43
178	356	41
179	358	39
180	360	37
181	362	35
182	364	33
183	366	31
184	368	29
185	370	27
186	372	25
187	374	23
188	376	21
189	378	19
190	380	17
191	381	15
192	383	13
193	385	11
194	387	9
195	389	7
196	391	5
197	393	3
198	395	1
199	397	0
