iter	Passed	Remaining
0	2	564
1	4	482
2	6	452
3	9	468
4	11	451
5	13	439
6	15	430
7	17	423
8	19	417
9	21	411
10	23	407
11	25	402
12	27	398
13	29	395
14	31	391
15	33	388
16	35	384
17	37	381
18	39	378
19	41	375
20	43	373
21	45	370
22	47	367
23	49	365
24	51	362
25	53	360
26	55	357
27	57	354
28	59	352
29	61	350
30	63	347
31	65	345
32	67	343
33	69	340
34	71	338
35	73	336
36	75	334
37	77	331
38	79	329
39	81	327
40	83	324
41	85	322
42	87	320
43	89	318
44	92	316
45	94	314
46	96	312
47	98	311
48	100	309
49	102	307
50	104	305
51	106	303
52	108	301
53	110	299
54	112	297
55	114	295
56	117	293
57	119	291
58	121	289
59	123	287
60	125	285
61	127	283
62	129	281
63	131	280
64	133	278
65	136	276
66	138	274
67	140	272
68	142	270
69	144	268
70	146	266
71	148	264
72	150	262
73	152	260
74	154	258
75	156	256
76	159	254
77	161	252
78	163	250
79	165	247
80	167	245
81	169	243
82	171	241
83	173	240
84	175	237
85	177	235
86	180	233
87	182	231
88	184	229
89	186	227
90	188	225
91	190	223
92	192	221
93	194	219
94	196	217
95	199	215
96	201	213
97	203	211
98	205	209
99	207	207
100	209	205
101	211	203
102	213	201
103	215	199
104	217	197
105	220	195
106	222	193
107	224	191
108	226	188
109	228	186
110	230	184
111	232	182
112	234	180
113	236	178
114	239	176
115	241	174
116	243	172
117	245	170
118	247	168
119	249	166
120	251	164
121	253	162
122	255	160
123	257	158
124	260	156
125	262	154
126	264	151
127	266	149
128	268	147
129	270	145
130	273	143
131	275	141
132	277	139
133	279	137
134	281	135
135	283	133
136	286	131
137	288	129
138	290	127
139	292	125
140	294	123
141	297	121
142	299	119
143	301	117
144	303	115
145	305	113
146	307	110
147	309	108
148	311	106
149	313	104
150	316	102
151	318	100
152	320	98
153	322	96
154	324	94
155	325	91
156	327	89
157	329	87
158	331	85
159	333	83
160	335	81
161	337	79
162	339	76
163	340	74
164	342	72
165	344	70
166	346	68
167	348	66
168	350	64
169	352	62
170	354	60
171	355	57
172	357	55
173	359	53
174	361	51
175	363	49
176	365	47
177	367	45
178	369	43
179	370	41
180	372	39
181	374	37
182	376	34
183	378	32
184	380	30
185	382	28
186	384	26
187	385	24
188	387	22
189	389	20
190	391	18
191	393	16
192	395	14
193	397	12
194	399	10
195	400	8
196	402	6
197	404	4
198	406	2
199	408	0
