Algorithm,Dataset,Data_Perturbation_Score,Model_Perturbation_Score,Overall_Robustness
CEML,Spambase,0,0.64495,0.64495
CEML,German Credit,0,0.54608,0.54608
CEML,HELOC,0,0.3832416666666667,0.3832416666666667
CEML,COMPAS,0,0.5356666666666666,0.5356666666666666
DiCE,Spambase,0,0.5731625,0.5731625
DiCE,German Credit,0,0.6971250000000001,0.6971250000000001
DiCE,HELOC,0,0.0,0.0
DiCE,COMPAS,0,0.8218166666666665,0.8218166666666665
feature_tweak,Spambase,0,0.0,0.0
feature_tweak,German Credit,0,0.0,0.0
feature_tweak,HELOC,0,0.0,0.0
feature_tweak,COMPAS,0,0.0,0.0
NICE,Spambase,0,0.5905083333333333,0.5905083333333333
NICE,German Credit,0,0.7113458333333332,0.7113458333333332
NICE,HELOC,0,0.6000958333333334,0.6000958333333334
NICE,COMPAS,0,0.7718791666666666,0.7718791666666666
